region_from,region_to,SC,module_from,overlapping_from,module_to,overlapping_to
rh_R_POS2,rh_R_TGd,4.159133716,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_TGd,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_TGd,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_TGd,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_TGd,6.676336733,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_TGd,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_TGd,4.519778233,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_TGd,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_TGd,4.835547549,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_TGd,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_TGv,3.313616192,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_TGv,4.623483205,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_TGv,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_TGv,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_TGv,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_TGv,7.130058632,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_TGv,2.81762381,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_TGv,5.04790576,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_TGv,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_TGv,4.892605841,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_TGv,2.79807405,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_TPOJ3,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_TPOJ3,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_TPOJ3,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_TPOJ3,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_TPOJ3,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_TPOJ3,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_TPOJ3,3.835142953,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_TPOJ3,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_TPOJ3,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_TPOJ3,6.959018689,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_TPOJ3,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_V1,6.909706984,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_V1,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_V1,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_V1,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_V1,5.392481446,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_V1,6.068949279,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_V1,5.739344791,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_V1,6.371556858,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_V1,2.915897138,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_V1,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_V1,4.912014183,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_V2,6.609909876,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_V2,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_V2,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_V2,2.793796447,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_V2,5.125594642,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_V2,5.878424013,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_V2,5.360300248,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_V2,6.189425284,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_V2,2.460084245,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_V2,3.09564987,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_V2,4.566886764,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_V3,6.661984029,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_V3,5.526972423,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_V3,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_V3,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_V3,4.951110944,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_V3,5.62639815,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_V3,5.729672813,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_V3,5.770570926,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_V3,2.57723029,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_V3,3.291174451,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_V3,5.08539852,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_V3A,6.614753639,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_V3A,5.7695473,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_V3A,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_V3A,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_V3A,3.745912982,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_V3A,5.235146412,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_V3A,5.901644056,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_V3A,5.142092841,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_V3A,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_V3A,3.534237719,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_V3A,5.603370021,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_V3B,2.763408823,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_V3B,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_V3B,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_V3B,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_V3B,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_V3B,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_V3B,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_V3B,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_V3B,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_V3B,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_V3B,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_V3CD,3.443001396,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_V3CD,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_V3CD,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_V3CD,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_V3CD,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_V3CD,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_V3CD,4.131594712,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_V3CD,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_V3CD,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_V3CD,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_V3CD,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_V4,4.597928257,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_V4,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_V4,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_V4,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_V4,4.191489512,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_V4,4.560184883,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_V4,4.94799668,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_V4,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_V4,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_V4,2.886563497,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_V4,4.232962029,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_V4t,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_V4t,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_V4t,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_V4t,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_V4t,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_V4t,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_V4t,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_V4t,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_V4t,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_V4t,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_V4t,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_V6,6.639487745,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_V6,7.064692628,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_V6,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_V6,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_V6,2.570575253,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_V6,5.282833452,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_V6,4.762435222,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_V6,5.139777802,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_V6,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_V6,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_V6,4.886894952,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_V6A,5.996850921,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_V6A,6.847721119,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_V6A,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_V6A,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_V6A,3.005602432,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_V6A,4.68287036,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_V6A,5.265454342,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_V6A,4.483497008,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_V6A,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_V6A,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_V6A,5.413145619,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_V7,4.549692089,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_V7,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_V7,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_V7,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_V7,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_V7,3.709488899,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_V7,4.765749862,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_V7,3.44791182,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_V7,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_V7,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_V7,4.646391198,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_V8,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_V8,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_V8,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_V8,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_V8,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_V8,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_V8,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_V8,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_V8,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_V8,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_V8,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_VMV1,3.126739534,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_VMV1,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_VMV1,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_VMV1,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_VMV1,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_VMV1,5.234243446,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_VMV1,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_VMV1,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_VMV1,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_VMV1,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_VMV1,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_VMV2,3.511858801,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_VMV2,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_VMV2,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_VMV2,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_VMV2,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_VMV2,5.755321839,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_VMV2,2.16954199,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_VMV2,6.067438517,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_VMV2,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_VMV2,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_VMV2,1.765839601,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_VMV3,2.334848708,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_VMV3,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_VMV3,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_VMV3,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_VMV3,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_VMV3,3.316290119,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_VMV3,2.170685884,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_VMV3,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_VMV3,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_VMV3,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_VMV3,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_VVC,2.481720978,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_VVC,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_VVC,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_VVC,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_VVC,1.530962274,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_VVC,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_VVC,3.026791817,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_VVC,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_VVC,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_VVC,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_VVC,2.90833976,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_pOFC,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_POS2,rh_R_pOFC,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_8BM,rh_R_pOFC,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_9m,rh_R_pOFC,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual,Non-overlapping
rh_R_PoI2,rh_R_pOFC,0.0,Somatomotor + insula and post. temporal,Overlapping,Visual,Non-overlapping
rh_R_PeEc,rh_R_pOFC,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_A5,rh_R_pOFC,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_PHA1,rh_R_pOFC,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual,Non-overlapping
rh_R_PFm,rh_R_pOFC,0.0,Fronto-parietal + somatomotor,Overlapping,Visual,Non-overlapping
rh_R_PGs,rh_R_pOFC,0.0,Visual + fronto-parietal,Overlapping,Visual,Non-overlapping
rh_R_A4,rh_R_pOFC,0.0,Insula and post. temporal + visual,Overlapping,Visual,Non-overlapping
rh_R_RSC,rh_R_44,0.0,Cingulate and adj. cortex + visual,Overlapping,Fronto-parietal,Non-overlapping
rh_R_POS2,rh_R_44,0.0,Cingulate and adj. cortex + visual,Overlapping,Fronto-parietal,Non-overlapping
rh_R_8BM,rh_R_44,7.094408431,Anterior frontal + cingulate and adj. cortex,Overlapping,Fronto-parietal,Non-overlapping
rh_R_9m,rh_R_44,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Fronto-parietal,Non-overlapping
rh_R_PoI2,rh_R_44,0.0,Somatomotor + insula and post. temporal,Overlapping,Fronto-parietal,Non-overlapping
rh_R_PeEc,rh_R_44,0.0,Cingulate and adj. cortex + visual,Overlapping,Fronto-parietal,Non-overlapping
rh_R_A5,rh_R_44,0.0,Insula and post. temporal + visual,Overlapping,Fronto-parietal,Non-overlapping
rh_R_PHA1,rh_R_44,0.0,Cingulate and adj. cortex + visual,Overlapping,Fronto-parietal,Non-overlapping
rh_R_PFm,rh_R_44,7.595058118,Fronto-parietal + somatomotor,Overlapping,Fronto-parietal,Non-overlapping
rh_R_PGs,rh_R_44,5.999946177,Visual + fronto-parietal,Overlapping,Fronto-parietal,Non-overlapping
rh_R_A4,rh_R_44,0.0,Insula and post. temporal + visual,Overlapping,Fronto-parietal,Non-overlapping
rh_R_RSC,rh_R_8C,0.0,Cingulate and adj. cortex + visual,Overlapping,Fronto-parietal,Non-overlapping
rh_R_POS2,rh_R_8C,0.0,Cingulate and adj. cortex + visual,Overlapping,Fronto-parietal,Non-overlapping
rh_R_8BM,rh_R_8C,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Fronto-parietal,Non-overlapping
rh_R_9m,rh_R_8C,2.714191268,Anterior frontal + cingulate and adj. cortex,Overlapping,Fronto-parietal,Non-overlapping
rh_R_PoI2,rh_R_8C,0.0,Somatomotor + insula and post. temporal,Overlapping,Fronto-parietal,Non-overlapping
rh_R_PeEc,rh_R_8C,0.0,Cingulate and adj. cortex + visual,Overlapping,Fronto-parietal,Non-overlapping
rh_R_A5,rh_R_8C,0.0,Insula and post. temporal + visual,Overlapping,Fronto-parietal,Non-overlapping
rh_R_PHA1,rh_R_8C,0.0,Cingulate and adj. cortex + visual,Overlapping,Fronto-parietal,Non-overlapping
rh_R_PFm,rh_R_8C,6.783885266,Fronto-parietal + somatomotor,Overlapping,Fronto-parietal,Non-overlapping
rh_R_PGs,rh_R_8C,6.304163968,Visual + fronto-parietal,Overlapping,Fronto-parietal,Non-overlapping
rh_R_A4,rh_R_8C,0.0,Insula and post. temporal + visual,Overlapping,Fronto-parietal,Non-overlapping
rh_R_RSC,rh_R_IFJa,0.0,Cingulate and adj. cortex + visual,Overlapping,Fronto-parietal,Non-overlapping
rh_R_POS2,rh_R_IFJa,0.0,Cingulate and adj. cortex + visual,Overlapping,Fronto-parietal,Non-overlapping
rh_R_8BM,rh_R_IFJa,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Fronto-parietal,Non-overlapping
rh_R_9m,rh_R_IFJa,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Fronto-parietal,Non-overlapping
